nutrient_name,nutrient_id,description,daily_intake,low_intake_amount,low_intake_description,high_intake_amount,high_intake_description,links,type
Folate,417,"Folate helps tissues grow and cells work. Taking the right amount of folic acid before and during pregnancy helps prevent certain birth defects, including spina bifida. Folate also helps prevent anemia.",400,400,"Folate deficiency may cause: Diarrhea, Gray hair, Mouth ulcers, Peptic ulcer, Poor growth, Swollen tongue (glossitis)",400,"Too much folic acid usually doesn't cause harm, because the vitamin is regularly removed from the body through urine.",http://www.nytimes.com/health/guides/nutrition/folic-acid-folate/overview.html,Vitamin
Vitamin A (RAE),320,"Vitamin A helps form and maintain healthy skin, teeth, skeletal and soft tissue, mucus membranes, and skin. It is also known as retinol because it produces the pigments in the retina of the eye. Vitamin A promotes good vision, especially in low light. It may also be needed for reproduction and breast-feeding.",900,900,"If you don't get enough vitamin A, you are more likely to get infectious diseases and vision problems.",900,"If you get too much vitamin A, you can become sick. Large doses of vitamin A can also cause birth defects.",http://www.nytimes.com/health/guides/nutrition/vitamin-a/overview.html,Vitamin
Thiamin (B1),404,"Vitamin B1 plays an important role in maintaining a healthy nervous system and improving the cardiovascular functioning of the body. In addition to these health benefits, it maintain the muscle tone along the walls of the digestive tract and promotes the health of the nervous system, skin, hair, eyes, mouth, and liver. It also improves the body's ability to withstand stress and is often called the anti-stress vitamin.",1.4,,,,,https://www.organicfacts.net/health-benefits/vitamins/vitamin-b1-or-thiamine.html,Vitamin
Riboflavin (B2),405,"Riboflavin is can be used for preventing cervical cancer and migraine headaches. It is also used for treating riboflavin deficiency, acne, muscle cramps, burning feet syndrome, carpal tunnel syndrome, and blood disorders such as congenital methemoglobinemia and red blood cell aplasia. It helps in maintaining healthy hair, skin, mucous membranes, and nails.",1.6,,,,,http://www.webmd.com/vitamins-supplements/ingredientmono-957-riboflavin.aspx?activeingredientid=957,Vitamin
Niacin (B3),406,"Niacin helps the body make various sex and stress-related hormones in the adrenal glands and other parts of the body. Niacin helps improve circulation, and it has been shown to suppress inflammation.",18,,,,,webMd,Vitamin
Pantothenic acid (B5),410,"Vitamin B5, or pantothenic acid, is involved in many different functions of the body. It helps convert food into energy and it also helps the body use proteins and fats. Vitamin B5 important for the immune, nervous, and gastrointestinal systems .",6,,,,,https://selfhacked.com/2016/07/24/top-11-proven-uses-vitamin-b5/,Vitamin
Vitamin B6,415,"Vitamin B6 is used for preventing and treating low levels of pyridoxine (pyridoxine deficiency) and the 'tired blood' (anemia) that may result. It is also used for heart disease, high cholesterol, reducing blood levels of homocysteine (a chemical that might be linked to heart disease) and helping clogged arteries stay open after a balloon procedure to unblock them (angioplasty).",2,,,,,http://www.webmd.com/vitamins-supplements/ingredientmono-934-Vitamin+B6+PYRIDOXINE+VITAMIN+B6.aspx,Vitamin
Vitamin B12,418,"Vitamin B12 helps prevent memory loss, Alzheimer's disease, and to boost mood, energy, concentration, mental function, and the immune system. It is also used for heart disease, clogged arteries, male infertility, diabetes, diabetic nerve damage, nerve damage in the hands or feet, sleep disorders, depression, mental disorders, schizophrenia, weak bones (osteoporosis), swollen tendons, AIDS, inflammatory bowel disease, diarrhea, asthma, allergies, a skin disease called vitiligo, and skin infections.",6,,,,,WebMd,Vitamin
Vitamin C,401,"Vitamin C is used most often for preventing and treating the common cold. Some people use it for other infections including gum disease, acne and other skin infections, bronchitis, human immunodeficiency virus (HIV) disease, stomach ulcers caused by bacteria called Helicobacter pylori, tuberculosis, dysentery (an infection of the lower intestine), and skin infections that produce boils (furunculosis). It is also used for infections of the bladder and prostate.",75,,,,,webMd,Vitamin
Vitamin D,328,"Vitamin D is used for preventing and treating rickets, a disease that is caused by not having enough vitamin D (vitamin D deficiency). Vitamin D is also used for treating weak bones (osteoporosis), bone pain (osteomalacia), bone loss in people with a condition called hyperparathyroidism, and an inherited disease (osteogenesis imperfecta) in which the bones are especially brittle and easily broken. It is also used for preventing falls and fractures in people at risk for osteoporosis, and preventing low calcium and bone loss (renal osteodystrophy) in people with kidney failure.",5,,,,,,Vitamin
